parm	label	estimate	stderr	z	p	min95	max95	model
"hba1c_pct"	"HbA1c %"	1.067832	.00639198	10.964102	5.686e-28	1.0553772	1.0804338	"model3"
"gp_consult_count"	"Number of GP consultations in the 12 months prior to baseline"	.99584994	.00046945	-8.8218974	1.125e-18	.99493026	.99677047	"model3"
"1b.smoke_nomiss"	"Smoking status (missing set to non)"	1	0			1	1	"model3"
"2.smoke_nomiss"	"Smoking status (missing set to non)"	.98211822	.01240047	-1.4290547	.15298852	.95811202	1.0067259	"model3"
"3.smoke_nomiss"	"Smoking status (missing set to non)"	.547084	.01166627	-28.284555	5.35e-176	.52468977	.57043404	"model3"
"0b.hypertension"	"Diagnosed hypertension"	1	0			1	1	"model3"
"1.hypertension"	"Diagnosed hypertension"	.99456321	.01383547	-.39189019	.69513935	.96781254	1.0220533	"model3"
"bp_map"	"Mean Arterial Pressure"	.99933281	.00025835	-2.5816215	.00983374	.99882658	.9998393	"model3"
"0b.asthma"	"Asthma category"	1	0			1	1	"model3"
"1.asthma"	"Asthma category"	.95494852	.01432464	-3.0731018	.00211846	.92728144	.98344108	"model3"
"0b.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1	0			1	1	"model3"
"1.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1.1553401	.02143522	7.7827554	7.096e-15	1.1140825	1.1981256	"model3"
"0b.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1	0			1	1	"model3"
"1.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	.90193579	.01402192	-6.6389287	3.160e-11	.87486781	.92984124	"model3"
"0b.dm_type"	"Diabetes Type"	1	0			1	1	"model3"
"1.dm_type"	"Diabetes Type"	.85339852	.04647082	-2.9112489	.00359987	.76700943	.9495177	"model3"
"2.dm_type"	"Diabetes Type"	1.1332763	.02074018	6.836362	8.123e-12	1.0933467	1.1746641	"model3"
"3.dm_type"	"Diabetes Type"	1.0230323	.02793708	.83385678	.4043617	.96971617	1.0792798	"model3"
"0b.cancer"	"Cancer"	1	0			1	1	"model3"
"1.cancer"	"Cancer"	.81101636	.01446318	-11.745771	7.424e-32	.78315874	.83986491	"model3"
"0b.chronic_liver_disease"	"Chronic liver disease"	1	0			1	1	"model3"
"1.chronic_liver_disease"	"Chronic liver disease"	.9876839	.04483657	-.2729902	.78486075	.90360186	1.07959	"model3"
"0b.stroke"	"Stroke"	1	0			1	1	"model3"
"1.stroke"	"Stroke"	1.0595001	.02208291	2.7730079	.00555408	1.0170905	1.103678	"model3"
"0b.dementia"	"Dementia"	1	0			1	1	"model3"
"1.dementia"	"Dementia"	1.4873104	.05529077	10.678396	1.285e-26	1.3827963	1.5997239	"model3"
"0b.other_neuro"	"Neurological disease"	1	0			1	1	"model3"
"1.other_neuro"	"Neurological disease"	1.2285071	.04117217	6.1407113	8.215e-10	1.1504044	1.3119124	"model3"
"0b.egfr60"	"CKD defined by egfr<60"	1	0			1	1	"model3"
"1.egfr60"	"CKD defined by egfr<60"	1.1530877	.02005741	8.1889726	2.635e-16	1.1144384	1.1930773	"model3"
"0b.esrf"	"end stage renal failure"	1	0			1	1	"model3"
"1.esrf"	"end stage renal failure"	1.7275145	.09089836	10.38967	2.763e-25	1.5582358	1.9151828	"model3"
"0b.immunosuppressed"	"Immunosuppressed (perm or temp)"	1	0			1	1	"model3"
"1.immunosuppressed"	"Immunosuppressed (perm or temp)"	.94066144	.05260105	-1.0939351	.27398343	.84301407	1.0496194	"model3"
"0b.ra_sle_psoriasis"	"Autoimmune disease"	1	0			1	1	"model3"
"1.ra_sle_psoriasis"	"Autoimmune disease"	1.0302546	.02219173	1.3837453	.16643644	.98766493	1.0746808	"model3"
"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"model3"
"2.hh_total_cat"	"Number of people in household"	1.2101922	.01671888	13.809514	2.233e-43	1.1778635	1.2434083	"model3"
"3.hh_total_cat"	"Number of people in household"	1.3748014	.0317852	13.767791	3.982e-43	1.3138939	1.4385323	"model3"
"4.hh_total_cat"	"Number of people in household"	1.3951021	.0623758	7.4471799	9.536e-14	1.2780513	1.522873	"model3"
"0b.carehome"	"Care home y/n"	1	0			1	1	"model3"
"1.carehome"	"Care home y/n"	1.273207	.04373736	7.031268	2.047e-12	1.1903055	1.3618824	"model3"
"1b.stp"	"Sustainability and Transformation Partnership"	1	0			1	1	"model3"
"2.stp"	"Sustainability and Transformation Partnership"	.63309576	.26144016	-1.1069812	.26830206	.2818132	1.422255	"model3"
"3.stp"	"Sustainability and Transformation Partnership"	.49139267	.20316878	-1.718474	.0857102	.21852197	1.1049999	"model3"
"4.stp"	"Sustainability and Transformation Partnership"	.6596774	.27351851	-1.0033276	.31570282	.29268635	1.486828	"model3"
"5.stp"	"Sustainability and Transformation Partnership"	.60512558	.25200027	-1.206214	.227735	.26752763	1.3687445	"model3"
"6.stp"	"Sustainability and Transformation Partnership"	.55318336	.22855638	-1.4329984	.1518583	.2461398	1.243244	"model3"
"7.stp"	"Sustainability and Transformation Partnership"	.63704481	.26899704	-1.0678677	.28558021	.2784477	1.457459	"model3"
"8.stp"	"Sustainability and Transformation Partnership"	.54443179	.22516529	-1.4701262	.14152757	.24204985	1.2245659	"model3"
"9.stp"	"Sustainability and Transformation Partnership"	.29328836	.12154374	-2.9598168	.00307822	.1301794	.66076554	"model3"
"10.stp"	"Sustainability and Transformation Partnership"	.41980476	.17368435	-2.0979211	.03591212	.18658758	.94452181	"model3"
"11.stp"	"Sustainability and Transformation Partnership"	.36492186	.15079907	-2.4394548	.01470944	.16234998	.82025242	"model3"
"12.stp"	"Sustainability and Transformation Partnership"	.55460131	.22976864	-1.4229125	.15476152	.24622504	1.2491931	"model3"
"13.stp"	"Sustainability and Transformation Partnership"	.50161126	.2076481	-1.6666493	.09558415	.22284454	1.1291004	"model3"
"14.stp"	"Sustainability and Transformation Partnership"	.52065574	.21560094	-1.5761268	.11499659	.231245	1.1722736	"model3"
"15.stp"	"Sustainability and Transformation Partnership"	.42280884	.17499715	-2.079855	.03753883	.18786187	.95158913	"model3"
"16.stp"	"Sustainability and Transformation Partnership"	.32219837	.13339968	-2.7355236	.00622811	.14312011	.72534732	"model3"
"17.stp"	"Sustainability and Transformation Partnership"	.36535311	.15148133	-2.428489	.01516188	.16210292	.82344536	"model3"
"18.stp"	"Sustainability and Transformation Partnership"	.47787587	.19773009	-1.7845821	.07432912	.21238045	1.0752654	"model3"
"19.stp"	"Sustainability and Transformation Partnership"	.40650539	.16836347	-2.1733878	.02975114	.18051853	.91539984	"model3"
"20.stp"	"Sustainability and Transformation Partnership"	.47100364	.19487369	-1.8197104	.06880312	.20933747	1.0597454	"model3"
"21.stp"	"Sustainability and Transformation Partnership"	.39304979	.16245692	-2.2592904	.02386533	.17483385	.8836283	"model3"
"22.stp"	"Sustainability and Transformation Partnership"	.39961993	.16836815	-2.1770622	.02947593	.17499205	.91259054	"model3"
"23.stp"	"Sustainability and Transformation Partnership"	.30957852	.12824504	-2.8304742	.00464791	.13745315	.69724747	"model3"
"24.stp"	"Sustainability and Transformation Partnership"	.63090521	.26992359	-1.0765814	.28166732	.27276583	1.4592788	"model3"
"25.stp"	"Sustainability and Transformation Partnership"	.18122908	.07672492	-4.0343876	.00005474	.07904315	.41551962	"model3"
"26.stp"	"Sustainability and Transformation Partnership"	.12713877	.05285616	-4.961024	7.012e-07	.05628633	.28717929	"model3"
"27.stp"	"Sustainability and Transformation Partnership"	.28554207	.11839648	-3.0227986	.00250449	.12668639	.64359144	"model3"
"28.stp"	"Sustainability and Transformation Partnership"	.1866212	.07760012	-4.0370585	.00005413	.08260714	.42160367	"model3"
"29.stp"	"Sustainability and Transformation Partnership"	.27239721	.11317397	-3.130145	.0017472	.12065644	.61497121	"model3"
"30.stp"	"Sustainability and Transformation Partnership"	.38186576	.15863938	-2.3173117	.02048676	.1691586	.86203986	"model3"
"31.stp"	"Sustainability and Transformation Partnership"	.34699369	.1594945	-2.3027441	.02129325	.14095147	.85422749	"model3"
"32.stp"	"Sustainability and Transformation Partnership"	.67286066	.27794328	-.95918435	.33746588	.29944243	1.5119483	"model3"
"_cons"	"Constant"	.02012728	.0085137	-9.2334345	2.621e-20	.00878482	.04611449	"model3"
